outcome,dataset,class,count,proportion
mask,full,0,18478,0.4603846920470401
mask,full,1,21658,0.53961530795296
mask,train,0,14782,0.46038370499563974
mask,train,1,17326,0.5396162950043603
mask,test,0,3696,0.46038863976083705
mask,test,1,4332,0.5396113602391629
protective,full,0,13987,0.34849013354594377
protective,full,1,26149,0.6515098664540562
protective,train,0,11189,0.3484801295627258
protective,train,1,20919,0.6515198704372742
protective,test,0,2798,0.34853014449427006
protective,test,1,5230,0.65146985550573
social_avoidance,full,0,16437,0.40953258919673113
social_avoidance,full,1,23699,0.5904674108032689
social_avoidance,train,0,13149,0.40952410614177154
social_avoidance,train,1,18959,0.5904758938582285
social_avoidance,test,0,3288,0.40956651718983555
social_avoidance,test,1,4740,0.5904334828101644
