RegionName,RegionCode,Date,C1M_School closing,C2M_Workplace closing,H6M_Facial Coverings,ConfirmedCases,ConfirmedDeaths,daily_cases,daily_deaths,cases_14d_avg,deaths_14d_avg
Australian Capital Territory,AUS_ACT,2020-04-02,3.0,3.0,0.0,87.0,1.0,3.0,0.0,3.0,0.0
Australian Capital Territory,AUS_ACT,2020-04-03,3.0,3.0,0.0,91.0,1.0,4.0,0.0,3.5,0.0
Australian Capital Territory,AUS_ACT,2020-04-04,3.0,3.0,0.0,93.0,2.0,2.0,1.0,3.0,0.3333333333333333
Australian Capital Territory,AUS_ACT,2020-04-05,3.0,3.0,0.0,96.0,2.0,3.0,0.0,3.0,0.25
Australian Capital Territory,AUS_ACT,2020-04-06,3.0,3.0,0.0,96.0,2.0,0.0,0.0,2.4,0.2
Australian Capital Territory,AUS_ACT,2020-04-07,3.0,3.0,0.0,96.0,2.0,0.0,0.0,2.0,0.16666666666666666
Australian Capital Territory,AUS_ACT,2020-04-08,3.0,3.0,0.0,99.0,2.0,3.0,0.0,2.142857142857143,0.14285714285714285
Australian Capital Territory,AUS_ACT,2020-04-09,3.0,3.0,0.0,100.0,2.0,1.0,0.0,2.0,0.125
Australian Capital Territory,AUS_ACT,2020-04-10,3.0,3.0,0.0,103.0,2.0,3.0,0.0,2.111111111111111,0.1111111111111111
Australian Capital Territory,AUS_ACT,2020-04-11,3.0,3.0,0.0,103.0,2.0,0.0,0.0,1.9,0.1
Australian Capital Territory,AUS_ACT,2020-04-12,3.0,3.0,0.0,103.0,2.0,0.0,0.0,1.7272727272727273,0.09090909090909091
Australian Capital Territory,AUS_ACT,2020-04-13,3.0,3.0,0.0,102.0,2.0,,0.0,1.7272727272727273,0.08333333333333333
Australian Capital Territory,AUS_ACT,2020-04-14,3.0,3.0,0.0,103.0,2.0,1.0,0.0,1.6666666666666667,0.07692307692307693
Australian Capital Territory,AUS_ACT,2020-04-15,3.0,3.0,0.0,103.0,3.0,0.0,1.0,1.5384615384615385,0.14285714285714285
Australian Capital Territory,AUS_ACT,2020-04-16,3.0,3.0,0.0,103.0,3.0,0.0,0.0,1.3076923076923077,0.14285714285714285
Australian Capital Territory,AUS_ACT,2020-04-17,3.0,3.0,0.0,103.0,3.0,0.0,0.0,1.0,0.14285714285714285
Australian Capital Territory,AUS_ACT,2020-04-18,3.0,3.0,0.0,103.0,3.0,0.0,0.0,0.8461538461538461,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-19,3.0,3.0,0.0,103.0,3.0,0.0,0.0,0.6153846153846154,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-20,3.0,3.0,0.0,104.0,3.0,1.0,0.0,0.6923076923076923,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-21,3.0,3.0,0.0,104.0,3.0,0.0,0.0,0.6923076923076923,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-22,3.0,3.0,0.0,104.0,3.0,0.0,0.0,0.46153846153846156,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-23,3.0,3.0,0.0,104.0,3.0,0.0,0.0,0.38461538461538464,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-24,3.0,3.0,0.0,105.0,3.0,1.0,0.0,0.23076923076923078,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-25,3.0,3.0,0.0,106.0,3.0,1.0,0.0,0.3076923076923077,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-26,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.3076923076923077,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-27,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.2857142857142857,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-28,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.21428571428571427,0.07142857142857142
Australian Capital Territory,AUS_ACT,2020-04-29,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-04-30,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-01,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-02,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-03,3.0,3.0,0.0,106.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-04,3.0,3.0,0.0,107.0,3.0,1.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-05,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-06,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-07,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.21428571428571427,0.0
Australian Capital Territory,AUS_ACT,2020-05-08,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.14285714285714285,0.0
Australian Capital Territory,AUS_ACT,2020-05-09,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-10,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-11,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-12,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-13,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-14,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-15,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-16,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-17,3.0,3.0,0.0,107.0,3.0,0.0,0.0,0.07142857142857142,0.0
Australian Capital Territory,AUS_ACT,2020-05-18,2.0,3.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-19,2.0,3.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-20,2.0,3.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-21,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-22,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-23,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-24,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-25,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-26,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-27,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-28,2.0,2.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-29,2.0,1.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-30,2.0,1.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-05-31,2.0,1.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-06-01,2.0,1.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-06-02,1.0,1.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-06-03,1.0,1.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
Australian Capital Territory,AUS_ACT,2020-06-04,1.0,1.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0
