feature,median_importance,q1,q3,iqr
week_number,0.10898322850959402,0.108310131433779,0.10972547426263776,0.0014153428288587594
i2_health,0.10606502380784606,0.10524097597860417,0.10680207100470233,0.0015610950260981638
age,0.08093214052424065,0.0805560500383187,0.081216856884905,0.000660806846586301
r1_1,0.07376541717028332,0.07317177131754982,0.0744008026652625,0.0012290313477126835
cantril_ladder,0.05238928694065438,0.052177665329350593,0.05265002609050313,0.0004723607611525349
r1_2,0.04912339130705856,0.04885783805231869,0.04931397071993344,0.0004561326676147462
household_size,0.04261292119004863,0.04238746837934534,0.04283554710272881,0.0004480787233834757
i11_health_Very willing,0.02835769488338473,0.027701165463803006,0.028779089882575378,0.0010779244187723719
i9_health_Yes,0.020768419837884015,0.020322056371119175,0.02113945822704441,0.0008174018559252358
gender_Male,0.017673475954565403,0.017547948644833652,0.017818895261785463,0.00027094661695181016
