feature,median_importance,q1,q3,iqr
i2_health,0.11988327896531296,0.1191728772521883,0.12041530810177162,0.001242430849583323
age,0.0864275280337647,0.0860654169155555,0.08670299567796848,0.0006375787624129797
week_number,0.08169188712424252,0.08134732645330131,0.08200277491756532,0.0006554484642640052
r1_1,0.08032207191735774,0.07990370979351616,0.08080143469742064,0.0008977249039044816
cantril_ladder,0.058479141900863674,0.058237612955326465,0.058707414271336904,0.0004698013160104389
r1_2,0.05492236365607217,0.054630893253207274,0.05519706063587576,0.0005661673826684865
household_size,0.048958032556473824,0.04864325617352514,0.04920910958759232,0.0005658534140671814
gender_Male,0.02073287899239202,0.020531091859434383,0.02091700637080307,0.00038591451136868807
WCRex2_A lot of confidence,0.01707319313617292,0.01694693039012551,0.017205605041174084,0.0002586746510485731
WCRex1_Somewhat well,0.016879119521649152,0.01675717940040058,0.01697965063741575,0.00022247123701516977
