feature,median_importance,q1,q3,iqr
week_number,0.1301719814616516,0.12929063140538777,0.1312428279876034,0.0019521965822156262
protective_behaviour_nomask_scale,0.10142176888204513,0.10026000161321781,0.10267954808313716,0.002419546469919348
age,0.071987587251448,0.07167165737313128,0.07231005715126651,0.0006383997781352346
i2_health,0.058592534572654884,0.05833050910880468,0.058894069722388386,0.0005635606135837024
r1_1,0.045471299520478084,0.045176026995394525,0.04578358154268192,0.0006075545472873922
cantril_ladder,0.045468226351219956,0.04524007184481402,0.0456571625443792,0.00041709069956518546
r1_2,0.04539084775212563,0.04507824482550438,0.04563091059856341,0.0005526657730590342
household_size,0.03647647161288543,0.03625418812506592,0.036660028765886477,0.00040584064082055393
i11_health_Very willing,0.016041666686723063,0.01579632355068116,0.016280781000858065,0.00048445745017690334
gender_Male,0.015700777932297693,0.015585389067601004,0.015792874994784337,0.00020748592718333216
