feature,median_importance,q1,q3,iqr
i11_health_Very willing,0.06766901,0.06494210846722126,0.07233344949781895,0.007391341030597687
r1_1,0.037950624,0.03580180183053017,0.03946147300302982,0.0036596711724996567
i9_health_Yes,0.03478387,0.03220853675156832,0.03775700926780701,0.005548472516238689
i2_health,0.03146542,0.03033373085781932,0.03268367238342762,0.002349941525608301
week_number,0.02724293,0.02654049452394247,0.027839934453368187,0.0012994399294257164
i9_health_Not sure,0.026337083,0.024417147040367126,0.02846026187762618,0.004043114837259054
i11_health_Very unwilling,0.021648614,0.019521952606737614,0.024407388176769018,0.0048854355700314045
i11_health_Somewhat willing,0.020221304,0.01898365654051304,0.021734511014074087,0.0027508544735610485
d1_comorbidities_Prefer_not_to_say,0.013227014,0.01230506575666368,0.01429098634980619,0.0019859205931425095
i11_health_Somewhat unwilling,0.01318446,0.011690599145367742,0.015167124103754759,0.0034765249583870173
