feature,median_importance,q1,q3,iqr
i2_health,0.04398703,0.042589242570102215,0.04549665655940771,0.002907413989305496
r1_1,0.043503445,0.04194312635809183,0.04489352088421583,0.0029503945261240005
i9_health_Not sure,0.027049154,0.02594972448423505,0.02840631688013673,0.00245659239590168
i9_health_Yes,0.02668868,0.02533157868310809,0.0278011467307806,0.00246956804767251
i11_health_Very willing,0.024305485,0.023385579232126474,0.025440871715545654,0.00205529248341918
i11_health_Very unwilling,0.022115052,0.02087792381644249,0.023881365079432726,0.0030034412629902363
week_number,0.019497465,0.019132808782160282,0.019785769749432802,0.0006529609672725201
i11_health_Somewhat unwilling,0.017685939,0.01667019911110401,0.018582358956336975,0.0019121598452329636
r1_2,0.016970363,0.0165051044896245,0.01738613983616233,0.0008810353465378284
PHQ4_1_Nearly every day,0.016513523,0.015850762836635113,0.017164919525384903,0.0013141566887497902
