feature,median_importance,q1,q3,iqr
protective_behaviour_nomask_scale,0.08522369,0.08059933595359325,0.0906313806772232,0.010032044723629951
week_number,0.033307157,0.03242140356451273,0.03449880238622427,0.0020773988217115402
i11_health_Very willing,0.02814896,0.026258850935846567,0.029837627429515123,0.003578776493668556
i11_health_Very unwilling,0.016827825,0.015029080212116241,0.01926511013880372,0.004236029926687479
i9_health_Yes,0.014641626,0.013927972875535488,0.015578075312077999,0.001650102436542511
WCRex2_No confidence at all,0.012904845,0.012278953799977899,0.013685089536011219,0.0014061357360333204
WCRex2_A lot of confidence,0.012324843,0.01178518170490861,0.012838147580623627,0.0010529658757150173
r1_1,0.0122635625,0.011898752767592669,0.012703811982646585,0.000805059215053916
i9_health_Not sure,0.011700653,0.010933694895356894,0.012432677438482642,0.0014989825431257486
r1_2,0.011586434,0.011102016316726804,0.012009934987872839,0.0009079186711460352
