feature,median_importance,q1,q3,iqr
protective_behaviour_nomask_scale,0.09976201,0.09503546543419361,0.10412016324698925,0.009084697812795639
week_number,0.021788577,0.021347979549318552,0.02257121354341507,0.0012232339940965176
r1_1,0.021673493,0.020741085056215525,0.022599900607019663,0.0018588155508041382
age,0.017491497,0.01707332767546177,0.017912556417286396,0.0008392287418246269
d1_comorbidities_Yes,0.017150132,0.01602470502257347,0.018463540822267532,0.0024388357996940613
employment_status_Not working,0.016920298,0.016300052870064974,0.0176167874597013,0.0013167345896363258
employment_status_Retired,0.01660952,0.015440275892615318,0.017823228612542152,0.002382952719926834
r1_2,0.016096868,0.015545745613053441,0.016627424862235785,0.0010816792491823435
i11_health_Very willing,0.015126921,0.014562089694663882,0.015893515199422836,0.001331425504758954
i2_health,0.014870612,0.014441456878557801,0.015405525220558047,0.000964068342000246
