params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8482576654857921,0.8262626262626263,0.8982251521446651,0.8265026471504205,0.8371103846350181
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8468776078515695,0.827994227994228,0.8977641041557172,0.8264092183120523,0.8373240117267111
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8494249224114295,0.8201443001443002,0.8969198238728169,0.8245094985985675,0.8345216207217991
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8486543702537617,0.8223376623376624,0.8962451023594074,0.8250077857365307,0.8352820609013729
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8459843614460038,0.8206637806637807,0.8956050284964725,0.8226097788850826,0.8331255752160363
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8484103620571732,0.8200865800865801,0.8955026080896895,0.8238554967299907,0.8339981815818358
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8469215644966479,0.8211832611832612,0.895485528261991,0.8234194954842728,0.8338472508665792
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8402160112099286,0.8291486291486292,0.8953403594864534,0.8227343506695733,0.8346364867151449
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8402160112099286,0.8291486291486292,0.8953403594864534,0.8227343506695733,0.8346364867151449
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8404393800739509,0.8323809523809522,0.8952923212510633,0.8242914979757086,0.8363816700373023
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8484925319100421,0.8180086580086579,0.895194234240565,0.822983494238555,0.8329654163168844
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8422468779665442,0.8289754689754689,0.8951341522866718,0.8239489255683589,0.8355522401851999
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8396529663970768,0.832958152958153,0.8951144665652613,0.8240423544067269,0.8362856731251294
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8421306312540142,0.8278787878787879,0.8951138712112672,0.82338835253815,0.8349342407866682
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8483352018269785,0.8169696969696968,0.895002803531718,0.8224229212083463,0.832348405740734
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8483352018269785,0.8169696969696968,0.895002803531718,0.8224229212083463,0.832348405740734
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8480022718580686,0.8174891774891775,0.8946319272731179,0.8224540641544691,0.8324617850689793
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8480022718580686,0.8174891774891775,0.8946319272731179,0.8224540641544691,0.8324617850689793
"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8413296849519961,0.8281096681096681,0.8945062197412552,0.822983494238555,0.8346550932129337
"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8413296849519961,0.8281096681096681,0.8945062197412552,0.822983494238555,0.8346550932129337
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8425713726849404,0.8262626262626263,0.8944360460491673,0.8229523512924322,0.8343309191665392
