params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8264279054564556,0.8100860420650096,0.8361199394433367,0.7654001868576767,0.8181693860828411
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8274823994820517,0.8069789674952199,0.8355869929618258,0.7646216132046091,0.8170973468178181
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.832733214956132,0.7970841300191204,0.8355258852396551,0.7634693241980692,0.814513822203884
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8329632822382763,0.794168260038241,0.8355010021581,0.7621301775147928,0.8130989370533832
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8238629064928082,0.8146749521988529,0.8354848975714113,0.7657739022111493,0.8192409124892212
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8415500729931571,0.7771988527724665,0.835401768856036,0.7594830270943631,0.808089347870465
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8415500729931571,0.7771988527724665,0.835401768856036,0.7594830270943631,0.808089347870465
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8415301277948382,0.7773900573613768,0.8352417268559575,0.7595764559327312,0.8081858474834707
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8404427415849323,0.7786806883365202,0.8351706872600332,0.7594830270943632,0.8083812231742801
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8247801412458171,0.8119024856596558,0.8349714303777785,0.7650576144503269,0.8182827711869599
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8347133229486104,0.7863288718929254,0.8348748882931188,0.7593273123637496,0.809793583923839
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.83987418555791,0.7759560229445507,0.8348180523446057,0.7576455932731236,0.8066481416325935
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.83987418555791,0.7759560229445507,0.8348180523446057,0.7576455932731236,0.8066481416325935
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8353892630593706,0.78934034416826,0.8347548728122112,0.7614138897539707,0.8117097699024205
