params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7861766007503,0.759704641350211,0.8086115355922414,0.736094674556213,0.772700394013977
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7847227428086347,0.7543776371308017,0.8085388891562786,0.7327623793210838,0.7692350085403101
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7816471680712932,0.7587552742616034,0.8085164585037944,0.7323886639676114,0.7700240290662344
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7815300414303912,0.7621835443037974,0.8081421363366543,0.7337589535970103,0.7717229319458774
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7892676116890307,0.7475210970464136,0.8078039418587861,0.7330738087823108,0.7678211339992085
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7930793108868974,0.7380274261603376,0.8076899335804015,0.7316100903145437,0.7645577662708839
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7866353926534594,0.7482067510548523,0.8075208764499207,0.7314855185300531,0.7669335963622902
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7940013281923199,0.7332805907172995,0.807370610129791,0.7301775147928994,0.7624255823169495
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7940013281923199,0.7332805907172995,0.807370610129791,0.7301775147928994,0.7624255823169495
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7905049390276118,0.7388713080168776,0.8073705700213377,0.7301775147928995,0.7638071438368247
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7934795330057437,0.7329641350210971,0.8072118608717973,0.7296792276549361,0.7620169491866301
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7935778317639837,0.7335970464135021,0.8067831015064735,0.7300218000622859,0.7624011634921619
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7927597266378876,0.7313291139240506,0.8067097030370121,0.7284646527561507,0.760793502431788
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7927597266378876,0.7313291139240506,0.8067097030370121,0.7284646527561507,0.760793502431788
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",0.7957224847228266,0.7258438818565401,0.8066854775312446,0.7280909374026783,0.7591665675204178
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7960441485844457,0.7220464135021099,0.8063219545651442,0.7266272189349112,0.7572341777598831
"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7993777681243138,0.7223101265822784,0.8061585527265727,0.7289940828402367,0.7588815037326898
