params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8446969173494807,0.8338239538239538,0.9002987017866964,0.8276237932108377,0.8392198971369886
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8452333568414367,0.8337662337662339,0.9001887174562183,0.8279352226720647,0.8394552575671046
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8475330451677348,0.8335353535353536,0.9001653327321233,0.829274369355341,0.8404659376227424
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8455196189619631,0.8346320346320345,0.9000336911801232,0.8284957957022734,0.8400353269576056
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8467094807533233,0.8334199134199134,0.9000178703797236,0.8287137963251323,0.8400037637327756
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8469374373090138,0.8338816738816739,0.8999582373813013,0.8290563687324821,0.840353322857337
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8467380296204331,0.8352092352092353,0.8999263615428648,0.8295235129243228,0.840931264540879
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8458982882767876,0.8332467532467532,0.8999101601063048,0.828122080348801,0.8395154027629754
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8453940214825376,0.8331890331890331,0.8998983311056359,0.8277795079414514,0.8392399715339017
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8449454788145421,0.831976911976912,0.8998838864513535,0.8269697913422609,0.8384037602227348
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8469758370623831,0.8329004329004329,0.8998807144833523,0.8286515104328871,0.8398707253873688
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8456972112864959,0.8354978354978355,0.8998520008530155,0.8289940828402367,0.8405630977307869
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8471880441195129,0.8342857142857143,0.8998069686673,0.8293989411398318,0.8406839732596666
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8457635291266705,0.8320923520923522,0.8997930412877995,0.8275303643724696,0.8388671653548755
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8474584111250912,0.834112554112554,0.8997900547579276,0.8294923699781999,0.8407247123599004
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8449941231585136,0.8338239538239538,0.8997884150944685,0.8278106508875739,0.8393637121987829
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8470827903813287,0.831976911976912,0.8997832423466512,0.8283089380255373,0.8394573200780412
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8476768758884383,0.8351515151515152,0.8997467500747852,0.8300840859545314,0.8413609977189747
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8466281348451649,0.8351515151515152,0.8997388543144378,0.8294300840859545,0.8408420647613466
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.847455601747025,0.8330158730158731,0.899734647796873,0.8289940828402367,0.8401656986647288
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8453419187007594,0.8335353535353536,0.8997000489459062,0.8279040797259422,0.8393910727423304
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8459707523377709,0.8334776334776336,0.899683896308854,0.8282777950794145,0.8396715177668737
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8466076276844801,0.8346897546897548,0.899682129766675,0.8292120834630957,0.8406014443628983
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8466093884428153,0.8327849927849927,0.8996802461056772,0.8283712239177825,0.8396291308771922
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8449112163775077,0.8348629148629149,0.8996767423010235,0.8282155091871692,0.8398495884420617
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8469006228929604,0.8326695526695527,0.8996342867293154,0.8284957957022735,0.8397173273252342
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.847162325543364,0.8331313131313131,0.8996269082437497,0.8288695110557459,0.8400802456978888
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8473522113113804,0.8326695526695527,0.8996216281370154,0.8287760822173779,0.8399409325393405
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8469584057215487,0.8339971139971141,0.8996107653665989,0.8291186546247274,0.8404206725204244
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8472277217101892,0.8326118326118326,0.8995986435688836,0.8286826533790098,0.8398490512037096
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8463605090537001,0.8346320346320347,0.8995738241392621,0.8290252257863594,0.8404489232764238
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8449999511525739,0.8329004329004329,0.8995452764272514,0.8274057925879788,0.8388996993232617
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8456513384944013,0.8336507936507938,0.8995274353272326,0.8281532232949237,0.8396027895166519
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8464482537550436,0.8335930735930737,0.8995159381632158,0.8286203674867643,0.839962365043337
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8454120028084502,0.8326118326118326,0.8995023719000723,0.8275303643724697,0.8389573036291373
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8454846359441104,0.8331890331890331,0.8995002442415361,0.8278417938336966,0.8392850033908378
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8462159423086618,0.8315151515151514,0.8994848626367057,0.8275615073185923,0.8387927632787952
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8483407194624819,0.8313419913419914,0.899452186486343,0.8288072251635004,0.8397434858144811
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.848513800897582,0.8305916305916305,0.8994361119285029,0.8285892245406415,0.8394492820567725
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8453402224328904,0.8338239538239538,0.8993927486859512,0.8280286515104329,0.8395380270747488
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8453451912509301,0.831919191919192,0.8993480092972822,0.8271877919651199,0.8385705280069443
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8485612581951065,0.8301298701298702,0.8992799827835338,0.8284023668639053,0.8392326849040435
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8460069311996733,0.8304761904761906,0.8990527234761256,0.8269697913422611,0.8381598171966157
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8473373771761505,0.8300721500721501,0.8989712868576583,0.8276237932108378,0.8386092738089668
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8467829647240157,0.83001443001443,0.8988601801385027,0.8272500778573655,0.838305905089717
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.84518651855643,0.8341125541125542,0.89885934078697,0.8280597944565556,0.8396095443041236
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8467918678623632,0.8288023088023089,0.8988334672879821,0.8267206477732794,0.8376912207143302
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8419221273273081,0.8368253968253969,0.8987676953114896,0.8271877919651199,0.8393642707054403
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8446062529644418,0.834112554112554,0.898699434560104,0.8276860791030831,0.8393177992909495
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.846300588367663,0.8304761904761906,0.8986888353070294,0.8271566490189972,0.8383081510951838
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8424658005008496,0.8352669552669554,0.898665079706676,0.8268452195577701,0.8388471323440332
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8475378751404656,0.8303607503607505,0.8986182028995691,0.8278729367798194,0.8388554636395877
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8443298348748101,0.8361904761904763,0.8985978339850507,0.8284335098100278,0.8402321066642605
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8435759798919857,0.8354978354978355,0.8985680565254457,0.8276549361569604,0.8395101420086787
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8428562758150333,0.8346897546897548,0.8985473850539796,0.8268452195577701,0.8387497576513882
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.843443165360406,0.8361904761904763,0.898501845353384,0.8278729367798194,0.8397901843086911
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8438065547754912,0.8304184704184705,0.8984057884024065,0.8255683587667393,0.8370551598460432
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8456232366456892,0.83001443001443,0.8983619176449749,0.826533790096543,0.8377411754502552
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.844321156546941,0.8364213564213564,0.8983570181744008,0.8285269386483962,0.8403464932560384
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8464863104952791,0.8303607503607504,0.8983480390649821,0.8272189349112427,0.8383420117179273
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8427673470763919,0.8356132756132757,0.8983211993357412,0.8271877919651199,0.8391703112896074
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8432884399733792,0.8358441558441558,0.8983189935979924,0.8276237932108377,0.8395458604672432
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8424285054187388,0.8378066378066379,0.8983141624467292,0.8279352226720647,0.8401063191435624
