params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8477963995789995,0.7695506692160612,0.8397428413617047,0.7598255995017129,0.8067719378892267
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.846742770250591,0.7630975143403441,0.8393922675770671,0.7556524447212706,0.8027400739124602
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8485453682105323,0.7639101338432123,0.8393871948458488,0.7573341638118967,0.803998280681828
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.847864428566569,0.763623326959847,0.8393377063480265,0.7567113048894425,0.8035369624520525
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8486901131284658,0.7661089866156787,0.8391781022047479,0.7586110246029274,0.8052800751084053
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8452720954090246,0.7673040152963672,0.8391745032354414,0.756867019620056,0.8043886496699647
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8474125343864977,0.762093690248566,0.8390631701344926,0.7555901588290252,0.8024845781577223
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8479651900356562,0.7622370936902485,0.8389542078679237,0.7560261600747431,0.8028048881188236
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8450167141606201,0.7692638623326961,0.8389324004634021,0.7577390221114918,0.8053535984517926
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8451002604137086,0.7686902485659656,0.8389195317452589,0.7574898785425102,0.8050777573029129
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8454479802468378,0.7706500956022945,0.8389048795616135,0.7587667393335409,0.8063054267859032
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8475852649718736,0.7685946462715105,0.8388994544090684,0.7591715976331361,0.8061405836042418
