params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7978210697149228,0.7349683544303798,0.8116766737257546,0.7335409529741513,0.7651005988047987
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7974331012306762,0.7338080168776371,0.8115402849304519,0.7327623793210838,0.7642926320517957
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7981627016522077,0.7304852320675106,0.8115061125282764,0.73179694799128,0.762814211395298
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.797150929242903,0.7324894514767932,0.811458704336526,0.7319838056680162,0.7634423251034449
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.798658205441879,0.7310126582278482,0.8114504720764948,0.7323575210214885,0.763335179739175
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7986518799809564,0.729535864978903,0.8114281517222569,0.7317035191529119,0.7625231451441827
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7969413669625777,0.7315400843881855,0.8114142641703165,0.7314232326378076,0.76283731244869
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7958594970382218,0.7311708860759494,0.8113823478686368,0.7305200872002492,0.7621364325109765
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7970336177793088,0.7338080168776371,0.8113208415555662,0.7324820928059795,0.7641033071877873
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7973549613586387,0.7313291139240506,0.8112366238308386,0.7316100903145438,0.762908810971743
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7973382416250143,0.7281645569620254,0.8111045968298278,0.7302086577390222,0.761175307692438
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7974103969837083,0.729535864978903,0.8110906591423207,0.7308626596075988,0.761962145102093
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7975964415595918,0.729535864978903,0.8110654309252217,0.7309872313920898,0.7620399933586628
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7986832500777625,0.7300632911392406,0.8110432008150038,0.7319526627218934,0.7628265380908966
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7967908009501482,0.7295886075949367,0.8109057792270299,0.7304578013080036,0.7616993899967579
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7964348627053678,0.7346518987341772,0.8109019789510837,0.7324509498598567,0.7642911139392163
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7971858486866179,0.7359177215189873,0.8108725594006193,0.7335098100280286,0.7653157034123732
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7976030610644145,0.7351793248945147,0.8108612989523672,0.7334786670819058,0.7651038157186358
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7976273926394247,0.7310654008438818,0.8108299241148064,0.7316723762067892,0.7628914287487183
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7955674425501903,0.7306962025316456,0.8107907582102005,0.730115228900654,0.7617477839187561
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7947714684017839,0.7300105485232067,0.8107287204601242,0.729274369355341,0.7610039385876541
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7943755382216651,0.7345464135021098,0.8107269957966341,0.7309872313920897,0.7632859212102011
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7962599441668686,0.7350210970464135,0.81068677704513,0.7324820928059795,0.764405215099852
