feature,median_importance_rf,q1_rf,q3_rf,median_importance_xgb,q1_xgb,q3_xgb,max_importance,readable_feature,category,color
PHQ4_2_N/A,0.0,0.0,0.0,0.01205352135002613,0.010754571296274662,0.013485902920365334,0.01205352135002613,PHQ4 2 N/A,"Health, mental health and wellbeing",#6BAED6
i11_health_Very unwilling,0.0,0.0,0.0,0.015284702181816101,0.01439132378436625,0.01624752301722765,0.015284702181816101,i11 health Very unwilling,"Health, mental health and wellbeing",#6BAED6
C2M_Workplace closing,0.0,0.0,0.0,0.022351298481225967,0.019976486917585135,0.02488091867417097,0.022351298481225967,Workplace Closing Policy,Policy,#7A4EAB
C1M_School closing,0.0,0.0,0.0,0.025184258818626404,0.02295709401369095,0.02817644877359271,0.025184258818626404,School Closing Policy,Policy,#7A4EAB
i11_health_Very willing,0.0,0.0,0.0,0.02633589319884777,0.025419271551072598,0.02725589321926236,0.02633589319884777,i11 health Very willing,"Health, mental health and wellbeing",#6BAED6
household_size,0.029587707007253293,0.02945846954861301,0.029723603442691513,0.0,0.0,0.0,0.029587707007253293,Household Size,Demographics,#2E8BC0
cantril_ladder,0.03750218614694932,0.037360777329905615,0.0376624721849934,0.0,0.0,0.0,0.03750218614694932,cantril ladder,"Health, mental health and wellbeing",#6BAED6
r1_2,0.038392591613745586,0.038177725290180674,0.03863186911729952,0.0,0.0,0.0,0.038392591613745586,r1 2,Unclassified,#999999
r1_1,0.04181629569588406,0.0416358772712608,0.04202745114414038,0.016144990921020508,0.01575666293501854,0.01655543874949217,0.04181629569588406,r1 1,Unclassified,#999999
i2_health,0.049141584569533395,0.048918514633729836,0.049349979586662186,0.0,0.0,0.0,0.049141584569533395,i2 health,"Health, mental health and wellbeing",#6BAED6
age,0.05905005256572289,0.05886456393643702,0.05925131994596138,0.0,0.0,0.0,0.05905005256572289,Age,Demographics,#2E8BC0
deaths_14d_avg,0.06127714238890342,0.058964498646486396,0.06343072664630961,0.029278531670570374,0.022003299091011286,0.0367492213845253,0.06127714238890342,14-day Average Deaths,Epidemic severity,#8C564B
H6M_Facial Coverings,0.07174024441607907,0.07014495449834662,0.07343637276155414,0.08612914383411407,0.08017274923622608,0.09201997891068459,0.08612914383411407,Facial Covering Policy,Policy,#7A4EAB
week_number,0.10601936641872631,0.10415178908169893,0.10795125268321384,0.03462063893675804,0.0320498738437891,0.037546093575656414,0.10601936641872631,Week Number,Time,#D98B36
cases_14d_avg,0.11357982190935481,0.11134284604019734,0.11576426443462248,0.04057352989912033,0.036893172189593315,0.043888540007174015,0.11357982190935481,14-day Average Cases,Epidemic severity,#8C564B
