feature,median_importance_rf,q1_rf,q3_rf,median_importance_xgb,q1_xgb,q3_xgb,max_importance,readable_feature,category,color
i9_health_Not sure,0.0,0.0,0.0,0.022617651149630547,0.021609638817608356,0.02391726290807128,0.022617651149630547,i9 health Not sure,"Health, mental health and wellbeing",#6BAED6
i9_health_Yes,0.0,0.0,0.0,0.02816333808004856,0.026871742215007544,0.029423825908452272,0.02816333808004856,i9 health Yes,"Health, mental health and wellbeing",#6BAED6
H6M_Facial Coverings,0.03391876008950834,0.03336095839817997,0.034473729516147134,0.032685182988643646,0.03115938464179635,0.03430357575416565,0.03391876008950834,Facial Covering Policy,Policy,#7A4EAB
household_size,0.03483683241972567,0.034703176396227456,0.0349709784007895,0.0,0.0,0.0,0.03483683241972567,Household Size,Demographics,#2E8BC0
C1M_School closing,0.0,0.0,0.0,0.0385524220764637,0.03414344973862171,0.04388985317200422,0.0385524220764637,School Closing Policy,Policy,#7A4EAB
deaths_14d_avg,0.04052904532203881,0.03947039506471011,0.04157946054475731,0.02596817910671234,0.02184906229376793,0.030181284993886948,0.04052904532203881,14-day Average Deaths,Epidemic severity,#8C564B
r1_2,0.040711580432865914,0.0405199058975886,0.04089864891451428,0.0,0.0,0.0,0.040711580432865914,r1 2,Unclassified,#999999
cantril_ladder,0.04307819424070508,0.04292676451908428,0.043237727615807436,0.0,0.0,0.0,0.04307819424070508,cantril ladder,"Health, mental health and wellbeing",#6BAED6
C2M_Workplace closing,0.0,0.0,0.0,0.04368141293525696,0.037929557263851166,0.050732688046991825,0.04368141293525696,Workplace Closing Policy,Policy,#7A4EAB
i11_health_Very willing,0.0,0.0,0.0,0.05406515300273895,0.05141598451882601,0.05711953528225422,0.05406515300273895,i11 health Very willing,"Health, mental health and wellbeing",#6BAED6
week_number,0.0617757690388928,0.06126905645285933,0.062260186073909714,0.0,0.0,0.0,0.0617757690388928,Week Number,Time,#D98B36
age,0.06561879819062834,0.06542283902300618,0.0658513594176788,0.0,0.0,0.0,0.06561879819062834,Age,Demographics,#2E8BC0
r1_1,0.06851228302651743,0.06802644701243091,0.06900690654775667,0.04341655969619751,0.041692919097840786,0.045248606242239475,0.06851228302651743,r1 1,Unclassified,#999999
i2_health,0.09058786891531823,0.08999346519655413,0.09114966989209097,0.03422039747238159,0.03306402359157801,0.035477686673402786,0.09058786891531823,i2 health,"Health, mental health and wellbeing",#6BAED6
cases_14d_avg,0.09220989461246443,0.09097181195047827,0.09328447860845741,0.031989142298698425,0.029531408566981554,0.03423828352242708,0.09220989461246443,14-day Average Cases,Epidemic severity,#8C564B
