feature,median_importance_rf,q1_rf,q3_rf,median_importance_xgb,q1_xgb,q3_xgb,max_importance,readable_feature,category,color
WCRex1_Very well,0.0,0.0,0.0,0.015602929517626762,0.014893250074237585,0.016417193692177534,0.015602929517626762,WCRex1 Very well,Unclassified,#999999
H6M_Facial Coverings,0.0,0.0,0.0,0.018474362790584564,0.017052559182047844,0.02026843326166272,0.018474362790584564,Facial Covering Policy,Policy,#7A4EAB
i11_health_Very unwilling,0.0,0.0,0.0,0.019647710025310516,0.018615705892443657,0.020876162685453892,0.019647710025310516,i11 health Very unwilling,"Health, mental health and wellbeing",#6BAED6
i9_health_Not sure,0.0,0.0,0.0,0.019964952021837234,0.018929190933704376,0.021275038830935955,0.019964952021837234,i9 health Not sure,"Health, mental health and wellbeing",#6BAED6
i9_health_Yes,0.0,0.0,0.0,0.025166673585772514,0.024016224313527346,0.026466013863682747,0.025166673585772514,i9 health Yes,"Health, mental health and wellbeing",#6BAED6
household_size,0.03449663874595939,0.034354189771423,0.03463591467204183,0.0,0.0,0.0,0.03449663874595939,Household Size,Demographics,#2E8BC0
i11_health_Very willing,0.0,0.0,0.0,0.040735937654972076,0.03880694322288036,0.04274595808237791,0.040735937654972076,i11 health Very willing,"Health, mental health and wellbeing",#6BAED6
r1_2,0.040835852202525114,0.040643809124904756,0.041031634049787505,0.0,0.0,0.0,0.040835852202525114,r1 2,Unclassified,#999999
cantril_ladder,0.04352227313617632,0.04334847948196922,0.04369238642994642,0.0,0.0,0.0,0.04352227313617632,cantril ladder,"Health, mental health and wellbeing",#6BAED6
week_number,0.05565340240669546,0.055355690256885255,0.05599423402099361,0.0,0.0,0.0,0.05565340240669546,Week Number,Time,#D98B36
C1M_School closing,0.03231850861429174,0.030997317844282536,0.033531382922778144,0.05726493149995804,0.048742049373686314,0.06641892716288567,0.05726493149995804,School Closing Policy,Policy,#7A4EAB
age,0.062474669736327905,0.06223764561508635,0.06266063756773962,0.0,0.0,0.0,0.062474669736327905,Age,Demographics,#2E8BC0
r1_1,0.07415692025440299,0.07346038256393342,0.07485433146582056,0.04352641850709915,0.04208239447325468,0.045277368277311325,0.07415692025440299,r1 1,Unclassified,#999999
cases_14d_avg,0.07477306723735178,0.07406473344603073,0.0755837571269043,0.0,0.0,0.0,0.07477306723735178,14-day Average Cases,Epidemic severity,#8C564B
C2M_Workplace closing,0.034927779776189036,0.03374218313167347,0.03615906915307715,0.10098475217819214,0.09157276339828968,0.11109771765768528,0.10098475217819214,Workplace Closing Policy,Policy,#7A4EAB
i2_health,0.12212114472246005,0.1209656234389533,0.12325215845478751,0.05230247974395752,0.05039102677255869,0.05436031613498926,0.12212114472246005,i2 health,"Health, mental health and wellbeing",#6BAED6
